feature,importance
mfcc_3_mean,0.140625
mfcc_1_mean,0.13819444444444443
mfcc_7_mean,0.11979166666666666
energy_mean,0.11840277777777779
mfcc_6_mean,0.11006944444444447
delta_mfcc_1_std,0.10972222222222221
mfcc_10_mean,0.10815972222222218
mfcc_2_std,0.10208333333333333
mfcc_9_std,0.09583333333333331
mfcc_5_mean,0.09392361111111111
mfcc_2_mean,0.0939236111111111
spectral_centroid_mean,0.0909722222222222
mfcc_8_mean,0.08402777777777777
spectral_rolloff_mean,0.08350694444444443
delta_mfcc_6_std,0.07482638888888889
mfcc_1_std,0.07430555555555556
delta2_mfcc_1_std,0.0689236111111111
delta_mfcc_2_std,0.06788194444444445
delta2_mfcc_2_std,0.06614583333333333
mfcc_13_mean,0.06388888888888887
mfcc_5_std,0.06267361111111108
mfcc_6_std,0.06059027777777777
chroma_mean,0.054861111111111104
mfcc_11_mean,0.053993055555555544
mfcc_4_std,0.0515625
delta_mfcc_7_std,0.04635416666666666
mfcc_4_mean,0.04062499999999998
mfcc_9_mean,0.03749999999999998
delta2_mfcc_9_std,0.03663194444444443
mfcc_11_std,0.034375
mfcc_7_std,0.03246527777777778
mfcc_10_std,0.031076388888888872
delta_mfcc_9_std,0.03038194444444442
delta_mfcc_4_std,0.029340277777777757
delta_mfcc_10_mean,0.026736111111111082
delta_mfcc_10_std,0.026215277777777768
delta2_mfcc_8_std,0.025868055555555557
mfcc_3_std,0.024999999999999977
delta_mfcc_5_std,0.0237847222222222
mfcc_8_std,0.02291666666666664
delta2_mfcc_7_std,0.022048611111111116
mfcc_13_std,0.01944444444444444
mfcc_12_std,0.019270833333333313
delta2_mfcc_10_std,0.01857638888888886
delta2_mfcc_4_std,0.017187499999999988
delta2_mfcc_11_mean,0.017013888888888884
delta_mfcc_3_mean,0.01666666666666663
delta2_mfcc_10_mean,0.015798611111111117
delta_mfcc_7_mean,0.015625
delta2_mfcc_5_std,0.015624999999999967
delta_mfcc_3_std,0.015451388888888884
delta_mfcc_12_mean,0.015451388888888884
delta2_mfcc_11_std,0.015451388888888872
delta2_mfcc_9_mean,0.015104166666666663
pitch_std,0.014583333333333327
delta2_mfcc_4_mean,0.014236111111111093
delta2_mfcc_2_mean,0.013368055555555546
delta_mfcc_2_mean,0.01319444444444443
mfcc_12_mean,0.01319444444444443
delta2_mfcc_6_mean,0.01284722222222221
delta_mfcc_9_mean,0.012326388888888862
delta_mfcc_6_mean,0.012152777777777757
delta_mfcc_1_mean,0.011805555555555536
delta_mfcc_11_std,0.010590277777777758
pitch_mean,0.010243055555555537
delta2_mfcc_3_std,0.009548611111111082
delta2_mfcc_13_mean,0.009375
delta2_mfcc_6_std,0.009201388888888874
delta2_mfcc_7_mean,0.008680555555555535
delta2_mfcc_12_mean,0.008333333333333314
delta_mfcc_4_mean,0.008333333333333314
delta2_mfcc_8_mean,0.005902777777777779
delta_mfcc_8_std,0.005902777777777768
zcr_mean,0.005555555555555547
delta2_mfcc_1_mean,0.005034722222222221
delta_mfcc_11_mean,0.003993055555555547
delta2_mfcc_3_mean,0.003125
delta2_mfcc_5_mean,0.0017361111111110939
delta_mfcc_12_std,-0.001388888888888906
delta_mfcc_13_std,-0.002083333333333337
delta2_mfcc_12_std,-0.002256944444444464
delta_mfcc_5_mean,-0.003993055555555558
delta2_mfcc_13_std,-0.005034722222222232
delta_mfcc_13_mean,-0.005381944444444476
delta_mfcc_8_mean,-0.007812499999999989
